lsof,lsof-4.95.0/dproc.c,516,mcdc_num,16,24
mawk,mawk-1.3.4.20200120/fcall.c,340,mcdc_num,8,6
procps,procps-4.0.2/library/diskstats.c,823,mcdc_num,2,4
procps,procps-4.0.2/library/diskstats.c,941,mcdc_num,2,4
procps,procps-4.0.2/library/diskstats.c,988,mcdc_num,2,4
procps,procps-4.0.2/library/meminfo.c,892,mcdc_num,2,4
procps,procps-4.0.2/library/meminfo.c,977,mcdc_num,2,4
procps,procps-4.0.2/library/pids.c,1617,mcdc_num,2,4
procps,procps-4.0.2/library/slabinfo.c,1000,mcdc_num,2,4
procps,procps-4.0.2/library/slabinfo.c,848,mcdc_num,2,4
procps,procps-4.0.2/library/slabinfo.c,954,mcdc_num,2,4
procps,procps-4.0.2/library/stat.c,1202,mcdc_num,2,4
procps,procps-4.0.2/library/stat.c,1350,mcdc_num,2,4
procps,procps-4.0.2/library/stat.c,1396,mcdc_num,2,4
