apache2,apache2-2.4.62/server/mpm_unix.c,901,bug,GCC#117415
apache2,apache2-2.4.62/server/util_filter.c,138,bug,GCC#117412
bzip2,bzip2-1.0.8/bzip2.c,1863,conv,
coreutils,coreutils-9.1/src/seq.c,425,conv,
curl,curl-7.88.1/debian/build/src/tool_getparam.c,707,bug,GCC#120484
curl,curl-7.88.1/debian/build/src/tool_main.c,100,bug,KNOWN BUG GCC#97923
curl,curl-7.88.1/debian/build/src/tool_main.c,101,bug,KNOWN BUG GCC#97923
curl,curl-7.88.1/debian/build/src/tool_operate.c,1198,bug,KNOWN BUG GCC#97923
curl,curl-7.88.1/debian/build/src/tool_operate.c,1754,bug,KNOWN BUG GCC#97923
curl,curl-7.88.1/debian/build/src/tool_operate.c,1771,bug,KNOWN BUG GCC#97923
curl,curl-7.88.1/debian/build/src/tool_operate.c,2163,bug,KNOWN BUG GCC#97923
curl,curl-7.88.1/debian/build/src/tool_operate.c,2687,bug,KNOWN BUG GCC#97923
distro-info,distro-info-1.5+deb12u1/debian-distro-info.c,29,bug,KNOWN BUG GCC#97923
distro-info,distro-info-1.5+deb12u1/debian-distro-info.c,30,conv,
distro-info,distro-info-1.5+deb12u1/distro-info-util.c,108,bug,KNOWN BUG GCC#97923
distro-info,distro-info-1.5+deb12u1/distro-info-util.c,173,bug,KNOWN BUG GCC#97923
distro-info,distro-info-1.5+deb12u1/distro-info-util.c,174,bug,KNOWN BUG GCC#97923
distro-info,distro-info-1.5+deb12u1/distro-info-util.c,175,conv,
distro-info,distro-info-1.5+deb12u1/distro-info-util.c,180,bug,KNOWN BUG GCC#97923
distro-info,distro-info-1.5+deb12u1/distro-info-util.c,185,bug,KNOWN BUG GCC#97923
distro-info,distro-info-1.5+deb12u1/distro-info-util.c,186,bug,KNOWN BUG GCC#97923
distro-info,distro-info-1.5+deb12u1/distro-info-util.c,187,conv,
distro-info,distro-info-1.5+deb12u1/distro-info-util.c,191,bug,KNOWN BUG GCC#97923
distro-info,distro-info-1.5+deb12u1/distro-info-util.c,192,conv,
distro-info,distro-info-1.5+deb12u1/distro-info-util.c,203,bug,KNOWN BUG GCC#97923
distro-info,distro-info-1.5+deb12u1/distro-info-util.c,204,conv,
grep,grep-3.8/lib/dfa.c,1965,bug,KNOWN BUG GCC#97923
grep,grep-3.8/lib/dfa.c,1966,bug,KNOWN BUG GCC#97923
grep,grep-3.8/lib/dfa.c,2006,bug,KNOWN BUG GCC#97923
grep,grep-3.8/lib/dfa.c,2007,bug,KNOWN BUG GCC#97923
grep,grep-3.8/lib/dfa.c,3792,conv,
grep,grep-3.8/lib/dfa.c,4322,conv,
grep,grep-3.8/lib/dfa.c,4323,conv,
grep,grep-3.8/src/grep.c,1552,bug,LLVM#116884
grep,grep-3.8/src/grep.c,2510,bug,KNOWN BUG GCC#97923
grep,grep-3.8/src/grep.c,2987,bug,KNOWN BUG GCC#97923
gzip,gzip-1.12/gzip.c,467,bug,GCC#120321
gzip,gzip-1.12/inflate.c,530,conv,
gzip,gzip-1.12/inflate.c,913,conv,
gzip,gzip-1.12/trees.c,724,conv,
gzip,gzip-1.12/trees.c,726,conv,
hostname,hostname-3.23+nmu1/hostname.c,133,conv,
hostname,hostname-3.23+nmu1/hostname.c,134,conv,
iproute2,iproute2-6.1.0/ip/ipaddress.c,1733,conv,
iproute2,iproute2-6.1.0/ip/ipaddress.c,1937,conv,
iproute2,iproute2-6.1.0/lib/libnetlink.c,872,bug,GCC#120321
iproute2,iproute2-6.1.0/lib/utils.c,970,conv,
less,less-590/charset.c,166,conv,
less,less-590/main.c,145,bug,KNOWN BUG LLVM#UCF
less,less-590/option.c,111,bug,KNOWN BUG LLVM#UCF
lz4,lz4-1.9.4/lib/lz4frame.c,1001,bug,GCC#117412
lz4,lz4-1.9.4/lib/lz4frame.c,1623,bug,KNOWN BUG GCC#97923
lz4,lz4-1.9.4/lib/lz4frame.c,2026,conv,
lz4,lz4-1.9.4/lib/lz4frame.c,834,bug,GCC#117412
lz4,lz4-1.9.4/lib/xxhash.c,236,bug,GCC#120482
lz4,lz4-1.9.4/lib/xxhash.c,332,bug,GCC#120490
lz4,lz4-1.9.4/lib/xxhash.c,334,bug,GCC#120490
lz4,lz4-1.9.4/lib/xxhash.c,336,bug,GCC#120490
lz4,lz4-1.9.4/programs/lz4cli.c,365,bug,GCC#120489
lz4,lz4-1.9.4/programs/lz4io.c,1288,bug,GCC#120321
lz4,lz4-1.9.4/lib/lz4.c,778,bug,GCC#120482
lz4,lz4-1.9.4/lib/lz4.c,779,bug,GCC#120482
lz4,lz4-1.9.4/lib/lz4.c,985,bug,GCC#120478
lz4,lz4-1.9.4/lib/lz4.c,1019,conv,
lzma,lzma-9.22/C/LzFind.c,73,bug,GCC#120321
lzma,lzma-9.22/C/LzmaDec.c,167,bug,KNOWN BUG GCC#97923
lzma,lzma-9.22/C/LzmaDec.c,290,conv,
lzma,lzma-9.22/C/LzmaDec.c,411,conv,
lzma,lzma-9.22/C/LzmaDec.c,513,bug,KNOWN BUG GCC#97923
lzma,lzma-9.22/C/LzmaDec.c,523,bug,KNOWN BUG GCC#97923
lzma,lzma-9.22/C/LzmaDec.c,627,conv,
lzma,lzma-9.22/C/LzmaDec.c,628,bug,LLVM#140427
lzma,lzma-9.22/C/LzmaDec.c,637,conv,
lzma,lzma-9.22/C/LzmaEnc.c,1021,bug,KNOWN BUG GCC#97923
lzma,lzma-9.22/C/LzmaEnc.c,1774,bug,GCC#120321
lzma,lzma-9.22/C/LzmaEnc.c,867,bug,KNOWN BUG GCC#97923
lzma,lzma-9.22/CPP/7zip/Bundles/LzmaCon/lzmp.cpp,657,bug,GCC#120492
lzma,lzma-9.22/CPP/7zip/Bundles/LzmaCon/lzmp.cpp,790,bug,GCC#120319
lzma,lzma-9.22/CPP/7zip/Compress/LzmaDecoder.cpp,101,bug,GCC#120348
lzma,lzma-9.22/CPP/7zip/Compress/LzmaDecoder.cpp,27,bug,GCC#120491
lzo2,lzo2-2.10/src/lzo1x_c.ch,176,bug,GCC#120478
lzo2,lzo2-2.10/src/lzo1x_c.ch,180,bug,GCC#120478
lzo2,lzo2-2.10/src/lzo1x_c.ch,183,conv,
lzo2,lzo2-2.10/src/lzo_init.c,221,bug,KNOWN BUG GCC#97923
mawk,mawk-1.3.4.20200120/bi_funct.c,814,bug,GCC#120486
mawk,mawk-1.3.4.20200120/bi_funct.c,816,bug,GCC#120486
mawk,mawk-1.3.4.20200120/parse.c,3296,bug,GCC#120486
mawk,mawk-1.3.4.20200120/parse.c,3297,bug,GCC#120486
mawk,mawk-1.3.4.20200120/parse.c,3298,bug,GCC#120486
sl,sl-5.02/sl.c,112,bug,LLVM#114622
xz-utils,xz-utils-5.4.1/src/xz/coder.c,181,bug,KNOWN BUG GCC#97923
xz-utils,xz-utils-5.4.1/src/xz/coder.c,641,bug,KNOWN BUG GCC#97923
xz-utils,xz-utils-5.4.1/src/xz/main.c,258,conv,
lzo2,lzo2-2.10/src/lzo1x_d.ch,166,bug,GCC#120332
lzo2,lzo2-2.10/src/lzo1x_d.ch,98,bug,GCC#120321
inetutils,inetutils-2.4/lib/argp-parse.c,234,bug,KNOWN BUG LLVM#UCF
inetutils,inetutils-2.4/lib/argp-parse.c,235,bug,KNOWN BUG LLVM#UCF
inetutils,inetutils-2.4/lib/argp-parse.c,325,conv,
inetutils,inetutils-2.4/lib/argp-parse.c,331,conv,
inetutils,inetutils-2.4/lib/argp-parse.c,334,bug,GCC#120486
inetutils,inetutils-2.4/lib/argp-parse.c,343,bug,KNOWN BUG GCC#97923
inetutils,inetutils-2.4/lib/argp-parse.c,926,bug,KNOWN BUG LLVM#UCF
inetutils,inetutils-2.4/lib/getopt.c,214,conv,
inetutils,inetutils-2.4/telnet/sys_bsd.c,131,conv,
inetutils,inetutils-2.4/telnet/sys_bsd.c,132,conv,
inetutils,inetutils-2.4/telnet/sys_bsd.c,133,conv,
inetutils,inetutils-2.4/telnet/telnet.c,1801,conv,
inetutils,inetutils-2.4/telnet/telnet.c,1802,conv,
inetutils,inetutils-2.4/telnet/telnet.c,1803,conv,
inetutils,inetutils-2.4/telnet/telnet.c,1804,conv,
traceroute,traceroute-2.1.2/libsupp/clif.c,311,conv,
traceroute,traceroute-2.1.2/libsupp/clif.c,401,bug,KNOWN BUG GCC#97923
man-db,man-db-2.11.2/src/man.c,562,bug,KNOWN BUG GCC#97923
lsof,lsof-4.95.0/main.c,1887,conv,
lsof,lsof-4.95.0/main.c,1888,conv,
grep,grep-3.8/lib/stackvma.c,268,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,273,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,280,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,281,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,282,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,283,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,293,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,294,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,295,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,303,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,304,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,354,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,359,other,stackvma.c reading /proc/self/maps
grep,grep-3.8/lib/stackvma.c,363,other,stackvma.c reading /proc/self/maps
wget,wget-1.21.3/src/main.c,1216,other,wget --version contains compiler name and flags
wget,wget-1.21.3/src/main.c,1221,other,wget --version contains compiler name and flags
wget,wget-1.21.3/src/main.c,1223,other,wget --version contains compiler name and flags
wget,wget-1.21.3/src/main.c,1228,other,wget --version contains compiler name and flags
wget,wget-1.21.3/src/main.c,1230,other,wget --version contains compiler name and flags
wget,wget-1.21.3/src/main.c,1235,other,wget --version contains compiler name and flags
wget,wget-1.21.3/src/main.c,1236,other,wget --version contains compiler name and flags
man-db,man-db-2.11.2/src/manp.c,147,conv,
man-db,man-db-2.11.2/src/manp.c,148,bug,LLVM#140427
procps,procps-4.0.2/src/ps/display.c,639,bug,GCC#120332
